vehicle,normalized_vehicle,vehicle_class,eligibility,models,note
Ram,RAM,B,ELIGIBLE,"[""1500"",""2500"",""3500"",""ProMaster"",""ProMaster City""]",
RAM Pick-Ups 4500 or larger,RAM PICK UPS 4500 OR LARGER,,INELIGIBLE,,
Rebuilt Vehicles,REBUILT VEHICLES,,INELIGIBLE,,
Saab Models,SAAB MODELS,,INELIGIBLE,,
Salvage Vehicles,SALVAGE VEHICLES,,INELIGIBLE,,
Saturn,SATURN,B,ELIGIBLE,"[""Astra"",""Aura"",""Ion"",""Outlook"",""Sky"",""Vue""]",
Smart,SMART,C,ELIGIBLE,"[""Fortwo""]",
Smart Electric Drive,SMART ELECTRIC DRIVE,,INELIGIBLE,,
Subaru,SUBARU,A,ELIGIBLE,"[""Ascent"",""BRZ"",""Crosstrek"",""Forester"",""Impreza"",""Legacy"",""Outback"",""WRX""]",
Subaru SVX,SUBARU SVX,,INELIGIBLE,,
Suzuki,SUZUKI,A,ELIGIBLE,"[""Equator"",""Grand Vitara"",""Kizashi"",""SX4"",""XL7""]",
Total Loss Vehicles,TOTAL LOSS VEHICLES,,INELIGIBLE,,
Toyota,TOYOTA,A,ELIGIBLE,"[""4Runner"",""86"",""Avalon (Non-Hybrid)"",""Camry (Non-Hybrid)"",""Corolla (Non-Hybrid)"",""Highlander (Non-Hybrid)"",""Land Cruiser"",""RAV4 (Non-Hybrid)"",""Sequoia"",""Sienna (Non-Hybrid)"",""Tacoma"",""Tundra"",""Venza (Non-Hybrid)"",""Yaris""]",
Toyota Scion iQ EB,TOYOTA SCION IQ EB,,INELIGIBLE,,
Vehicles Rated more than one ton,VEHICLES RATED MORE THAN ONE TON,,INELIGIBLE,,except those with a class
"Vehicles with GVWR over 13,000 lbs.",VEHICLES WITH GVWR OVER 13 000 LBS,,INELIGIBLE,,except those with a class
Vehicles without a class,VEHICLES WITHOUT A CLASS,,INELIGIBLE,,
Volkswagen,VOLKSWAGEN,C,ELIGIBLE,"[""Arteon"",""Atlas"",""Beetle"",""Golf"",""ID.4"",""Jetta"",""Passat"",""Taos"",""Tiguan""]",
Volkswagen eGolf and e-Up,VOLKSWAGEN EGOLF AND E UP,,INELIGIBLE,,
Volkswagen Phaeton V10/V12/TT/D,VOLKSWAGEN PHAETON V10 V12 TT D,,INELIGIBLE,,
Volkswagen Touareg B8X/V10/TT/D,VOLKSWAGEN TOUAREG B8X V10 TT D,,INELIGIBLE,,
Volvo,VOLVO,C,ELIGIBLE,"[""C30 (Non-Electric)"",""C70"",""S40"",""S60"",""V40"",""V50"",""V60"",""V70"",""XC40"",""XC60"",""XC70"",""XC90 (Non-T6 AWD)""]",
Volvo C30 DRIVe Electric,VOLVO C30 DRIVE ELECTRIC,,INELIGIBLE,,
Volvo S80,VOLVO S80,,INELIGIBLE,,
Volvo V60 Plug-In Electric,VOLVO V60 PLUG IN ELECTRIC,,INELIGIBLE,,
Volvo XC90 T6 AWD,VOLVO XC90 T6 AWD,,INELIGIBLE,,
